year,lap_length,position,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,average_speed,session_encoded,weather_score,is_top_driver
2024,6.174,1,1,96.89322448979593,29.1,1013.1,0,1.4,28,67.0,25.2,0.06371962572728912,6,10.6,0
2024,6.174,2,11,97.03457142857144,29.1,1013.1,0,1.4,28,67.0,25.2,0.06362680752956973,6,10.6,1
2024,6.174,3,16,97.2496122448979,29.1,1013.1,0,1.4,28,67.0,25.2,0.06348611431429037,6,10.6,0
2024,6.174,4,81,97.4811224489796,29.1,1013.1,0,1.4,28,67.0,25.2,0.06333533965236597,6,10.6,0
2024,6.174,5,14,97.56173469387753,29.1,1013.1,0,1.4,28,67.0,25.2,0.06328300761945604,6,10.6,0
2024,6.174,6,63,97.60714285714288,29.1,1013.1,0,1.4,28,67.0,25.2,0.0632535675082327,6,10.6,0
2024,6.174,7,38,97.619,29.1,1013.1,0,1.4,28,67.0,25.2,0.06324588451018757,6,10.6,0
2024,6.174,8,4,97.73581632653062,29.1,1013.1,0,1.4,28,67.0,25.2,0.06317029142492621,6,10.6,0
2024,6.174,9,44,97.75028571428574,29.1,1013.1,0,1.4,28,67.0,25.2,0.06316094070605566,6,10.6,0
2024,6.174,10,27,98.29634693877551,29.1,1013.1,0,1.4,28,67.0,25.2,0.06281006560544426,6,10.6,0
2024,6.174,11,23,98.53063265306125,29.1,1013.1,0,1.4,28,67.0,25.2,0.06266071610175722,6,10.6,1
2024,6.174,12,20,98.48675510204085,29.1,1013.1,0,1.4,28,67.0,25.2,0.06268863253341223,6,10.6,1
2024,6.174,13,31,98.81012499999996,29.1,1013.1,0,1.4,28,67.0,25.2,0.06248347525114459,6,10.6,1
2024,6.174,14,22,98.8807291666667,29.1,1013.1,0,1.4,28,67.0,25.2,0.06243885994806452,6,10.6,0
2024,6.174,15,2,98.84579166666664,29.1,1013.1,0,1.4,28,67.0,25.2,0.062460929250486574,6,10.6,1
2024,6.174,16,3,99.1595625,29.1,1013.1,0,1.4,28,67.0,25.2,0.06226328398736128,6,10.6,1
2024,6.174,17,77,99.19856250000004,29.1,1013.1,0,1.4,28,67.0,25.2,0.06223880512381415,6,10.6,1
2024,6.174,18,24,99.31260416666667,29.1,1013.1,0,1.4,28,67.0,25.2,0.062167335675125154,6,10.6,1
2024,6.174,19,18,95.79475,29.1,1013.1,0,1.4,28,67.0,25.2,0.0644502960757244,6,10.6,0
2024,5.303,1,16,177.82457142857143,34.0,1022.0,0,1.6,129,57.0,20.4,0.029821525548453853,0,13.700000000000001,0
2024,5.303,2,1,197.85350000000005,34.0,1022.0,0,1.6,129,57.0,20.4,0.026802659543551155,0,13.700000000000001,0
2024,5.303,3,55,184.60777777777776,34.0,1022.0,0,1.6,129,57.0,20.4,0.028725766941323047,0,13.700000000000001,0
2024,5.303,4,18,147.70756,34.0,1022.0,0,1.6,129,57.0,20.4,0.035902021534984396,0,13.700000000000001,0
2024,5.303,5,14,248.8659285714286,34.0,1022.0,0,1.6,129,57.0,20.4,0.021308662179836933,0,13.700000000000001,0
2024,5.303,6,63,189.7927,34.0,1022.0,0,1.6,129,57.0,20.4,0.02794101142983898,0,13.700000000000001,0
2024,5.303,7,81,155.74554166666664,34.0,1022.0,0,1.6,129,57.0,20.4,0.03404912874713108,0,13.700000000000001,0
2024,5.303,8,11,168.3003636363636,34.0,1022.0,0,1.6,129,57.0,20.4,0.03150914166447002,0,13.700000000000001,1
2024,5.303,9,4,172.30913636363638,34.0,1022.0,0,1.6,129,57.0,20.4,0.030776081361168783,0,13.700000000000001,0
2024,5.303,10,22,146.03231999999997,34.0,1022.0,0,1.6,129,57.0,20.4,0.03631387900979729,0,13.700000000000001,0
2024,5.303,11,24,170.24200000000002,34.0,1022.0,0,1.6,129,57.0,20.4,0.03114977502613926,0,13.700000000000001,1
2024,5.303,12,3,152.19558333333333,34.0,1022.0,0,1.6,129,57.0,20.4,0.0348433238590476,0,13.700000000000001,1
2024,5.303,13,2,152.84266666666667,34.0,1022.0,0,1.6,129,57.0,20.4,0.034695809198129667,0,13.700000000000001,1
2024,5.303,14,77,189.7698421052632,34.0,1022.0,0,1.6,129,57.0,20.4,0.027944376941929926,0,13.700000000000001,1
2024,5.303,15,10,156.73350000000002,34.0,1022.0,0,1.6,129,57.0,20.4,0.03383450251541629,0,13.700000000000001,0
2024,5.303,16,27,170.52605,34.0,1022.0,0,1.6,129,57.0,20.4,0.031097887976646383,0,13.700000000000001,0
2024,5.303,17,31,154.8514166666667,34.0,1022.0,0,1.6,129,57.0,20.4,0.03424573125743656,0,13.700000000000001,1
2024,5.303,18,44,201.27063157894736,34.0,1022.0,0,1.6,129,57.0,20.4,0.026347609476844742,0,13.700000000000001,0
2024,5.303,19,20,171.4345,34.0,1022.0,0,1.6,129,57.0,20.4,0.03093309689706564,0,13.700000000000001,1
2024,5.303,20,23,145.7615,34.0,1022.0,0,1.6,129,57.0,20.4,0.03638134898447121,0,13.700000000000001,1
2024,5.303,1,1,174.75065,32.6,1024.0,0,2.0,94,54.0,18.6,0.030346095994492724,5,14.799999999999999,0
2024,5.303,2,55,201.99229411764708,32.6,1024.0,0,2.0,94,54.0,18.6,0.026253476763382643,5,14.799999999999999,0
2024,5.303,3,11,166.49304761904764,32.6,1024.0,0,2.0,94,54.0,18.6,0.031851179829044764,5,14.799999999999999,1
2024,5.303,4,4,190.6015,32.6,1024.0,0,2.0,94,54.0,18.6,0.027822446308135036,5,14.799999999999999,0
2024,5.303,5,16,177.98805263157897,32.6,1024.0,0,2.0,94,54.0,18.6,0.02979413461518558,5,14.799999999999999,0
2024,5.303,6,81,200.23005882352945,32.6,1024.0,0,2.0,94,54.0,18.6,0.026484534995186413,5,14.799999999999999,0
2024,5.303,7,63,149.44336363636364,32.6,1024.0,0,2.0,94,54.0,18.6,0.03548501499808075,5,14.799999999999999,0
2024,5.303,8,22,194.25176470588235,32.6,1024.0,0,2.0,94,54.0,18.6,0.027299623290574997,5,14.799999999999999,0
2024,5.303,9,18,160.51281818181818,32.6,1024.0,0,2.0,94,54.0,18.6,0.03303785990470316,5,14.799999999999999,0
2024,5.303,10,14,175.70740000000004,32.6,1024.0,0,2.0,94,54.0,18.6,0.030180857493765197,5,14.799999999999999,0
2024,5.303,11,44,144.37885714285713,32.6,1024.0,0,2.0,94,54.0,18.6,0.03672975465343165,5,14.799999999999999,0
2024,5.303,12,23,157.0643846153846,32.6,1024.0,0,2.0,94,54.0,18.6,0.03376322399878149,5,14.799999999999999,1
2024,5.303,13,77,165.7855,32.6,1024.0,0,2.0,94,54.0,18.6,0.03198711588166637,5,14.799999999999999,1
2024,5.303,14,20,194.8696666666667,32.6,1024.0,0,2.0,94,54.0,18.6,0.027213060353159117,5,14.799999999999999,1
2024,5.303,15,31,120.12536842105264,32.6,1024.0,0,2.0,94,54.0,18.6,0.044145546188149046,5,14.799999999999999,1
2024,5.303,16,27,152.85716666666667,32.6,1024.0,0,2.0,94,54.0,18.6,0.03469251796066698,5,14.799999999999999,0
2024,5.303,17,10,108.64588888888888,32.6,1024.0,0,2.0,94,54.0,18.6,0.04880994627807158,5,14.799999999999999,0
2024,5.303,18,3,145.4374,32.6,1024.0,0,2.0,94,54.0,18.6,0.03646242300811208,5,14.799999999999999,1
2024,5.303,19,24,126.11012499999998,32.6,1024.0,0,2.0,94,54.0,18.6,0.04205054907367668,5,14.799999999999999,1
2024,5.303,1,55,83.13101754385963,36.9,1019.8,0,0.5,164,44.0,21.5,0.06379087080465672,6,17.05,0
2024,5.303,2,16,83.13489473684213,36.9,1019.8,0,0.5,164,44.0,21.5,0.06378789576610744,6,17.05,0
2024,5.303,3,4,83.20987719298243,36.9,1019.8,0,0.5,164,44.0,21.5,0.06373041493260649,6,17.05,0
2024,5.303,4,81,83.71187719298244,36.9,1019.8,0,0.5,164,44.0,21.5,0.06334823895747675,6,17.05,0
2024,5.303,5,11,84.04778947368419,36.9,1019.8,0,0.5,164,44.0,21.5,0.06309505619609898,6,17.05,1
2024,5.303,6,14,84.44442105263161,36.9,1019.8,0,0.5,164,44.0,21.5,0.0627987016062885,6,17.05,0
2024,5.303,7,18,84.68824561403511,36.9,1019.8,0,0.5,164,44.0,21.5,0.06261789887782432,6,17.05,0
2024,5.303,8,22,84.72173684210529,36.9,1019.8,0,0.5,164,44.0,21.5,0.06259314548618292,6,17.05,0
2024,5.303,9,27,84.81536842105264,36.9,1019.8,0,0.5,164,44.0,21.5,0.06252404603932256,6,17.05,0
2024,5.303,10,20,84.56173214285718,36.9,1019.8,0,0.5,164,44.0,21.5,0.06271158200781886,6,17.05,1
2024,5.303,11,23,84.57321428571431,36.9,1019.8,0,0.5,164,44.0,21.5,0.06270306792508602,6,17.05,1
2024,5.303,12,3,84.6554642857143,36.9,1019.8,0,0.5,164,44.0,21.5,0.06264214654948017,6,17.05,1
2024,5.303,13,10,85.09807142857142,36.9,1019.8,0,0.5,164,44.0,21.5,0.06231633585787156,6,17.05,0
2024,5.303,14,77,85.25724999999998,36.9,1019.8,0,0.5,164,44.0,21.5,0.06219998885725262,6,17.05,1
2024,5.303,15,24,85.22223214285714,36.9,1019.8,0,0.5,164,44.0,21.5,0.06222554686329544,6,17.05,1
2024,5.303,16,31,85.43819642857143,36.9,1019.8,0,0.5,164,44.0,21.5,0.06206825777781307,6,17.05,1
2024,5.303,17,63,83.50589090909091,36.9,1019.8,0,0.5,164,44.0,21.5,0.06350450180542516,6,17.05,0
2024,5.303,18,44,84.62414285714287,36.9,1019.8,0,0.5,164,44.0,21.5,0.06266533191304743,6,17.05,0
2024,5.303,19,1,83.607,36.9,1019.8,0,0.5,164,44.0,21.5,0.06342770342196227,6,17.05,0
2024,5.807,1,1,220.6237058823529,22.9,1012.9,0,1.7,184,52.0,15.4,0.02632083427651501,0,15.249999999999998,0
2024,5.807,2,11,215.6511176470588,22.9,1012.9,0,1.7,184,52.0,15.4,0.026927752860079833,0,15.249999999999998,1
2024,5.807,3,55,193.0522631578948,22.9,1012.9,0,1.7,184,52.0,15.4,0.03007993744808127,0,15.249999999999998,0
2024,5.807,4,63,219.40935294117645,22.9,1012.9,0,1.7,184,52.0,15.4,0.026466510757893053,0,15.249999999999998,0
2024,5.807,5,44,179.57123809523807,22.9,1012.9,0,1.7,184,52.0,15.4,0.032338140904949256,0,15.249999999999998,0
2024,5.807,6,16,217.5285882352941,22.9,1012.9,0,1.7,184,52.0,15.4,0.02669534173466314,0,15.249999999999998,0
2024,5.807,7,14,197.3022105263158,22.9,1012.9,0,1.7,184,52.0,15.4,0.029432006790544668,0,15.249999999999998,0
2024,5.807,8,81,177.09242857142854,22.9,1012.9,0,1.7,184,52.0,15.4,0.03279078640935686,0,15.249999999999998,0
2024,5.807,9,22,192.5442631578948,22.9,1012.9,0,1.7,184,52.0,15.4,0.03015929898279028,0,15.249999999999998,0
2024,5.807,10,4,187.457,22.9,1012.9,0,1.7,184,52.0,15.4,0.030977770902126892,0,15.249999999999998,0
2024,5.807,11,31,205.58855555555556,22.9,1012.9,0,1.7,184,52.0,15.4,0.028245735684595503,0,15.249999999999998,1
2024,5.807,12,23,207.1250625,22.9,1012.9,0,1.7,184,52.0,15.4,0.02803620155817696,0,15.249999999999998,1
2024,5.807,13,27,207.52823529411765,22.9,1012.9,0,1.7,184,52.0,15.4,0.027981734590332145,0,15.249999999999998,0
2024,5.807,14,77,231.88631250000003,22.9,1012.9,0,1.7,184,52.0,15.4,0.025042444020925123,0,15.249999999999998,1
2024,5.807,15,18,255.2695333333333,22.9,1012.9,0,1.7,184,52.0,15.4,0.02274850399956334,0,15.249999999999998,0
